broadcast_id,timestamp,sender_id,location,broadcast_type,message_text,signal_strength,cross_check_status,label
BC-001,2026-07-10 06:15,Outpost-Alpha,Sunken Garden,routine_check,"Morning check-in. All systems nominal near Sunken Garden.",62,verified,genuine
BC-002,2026-07-10 09:40,Marv Mail,CS Building Foyer,situation_report,"Confirmed safe passage through CS Building Foyer. No peacock activity detected.",71,verified,genuine
BC-003,2026-07-10 14:05,Outpost-Delta,Guild Village,routine_check,"Guild Village quiet. Supplies stable.",55,verified,genuine
BC-004,2026-07-11 07:20,Mini-Marv-01,Reynolds Court,situation_report,"Cross-checked Outpost-Beta's report with eyewitness scouts. Matches.",58,verified,genuine
BC-005,2026-07-11 11:50,New Meridian,Hackett Hall Path,all_clear,"All clear on Hackett Hall Path. Convoys may proceed without escort.",91,disputed,peacock_spoofed
BC-006,2026-07-11 12:10,Outpost-Beta,Robotics Workshop,supply_request,"Requesting spare parts at Robotics Workshop. Low on components.",49,unconfirmed,genuine
BC-007,2026-07-12 08:00,Outpost-Alpha,Sunken Garden,warning,"Convoy ambushed near Hackett Hall Path despite yesterday's all-clear signal. Feathers detected nearby.",60,verified,genuine
BC-008,2026-07-12 09:15,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer remains stable, minor debris cleared.",68,verified,genuine
BC-009,2026-07-12 15:30,Mini-Marv-02,Hackett Hall Path,situation_report,"Investigated Hackett Hall Path incident. New Meridian's report does not match ground observations.",54,disputed,genuine
BC-010,2026-07-13 06:45,Outpost-Delta,Guild Village,routine_check,"Guild Village status unchanged. Low peacock sightings.",51,verified,genuine
BC-011,2026-07-13 10:20,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building sector secure, patrol completed without incident.",65,verified,outdated
BC-012,2026-07-13 13:00,New Meridian,IT Building Relay Tower,all_clear,"IT Building Relay Tower area clear for supply movement.",89,disputed,peacock_spoofed
BC-013,2026-07-14 07:00,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden stable. Vigilance advised near tree line.",59,verified,genuine
BC-014,2026-07-14 09:30,Mini-Marv-03,Physics Lawn,situation_report,"Cross-checked Marv Mail's Old Commerce report. Patrol log timestamp mismatch found - report was two days old.",56,disputed,genuine
BC-015,2026-07-15 08:10,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer secure. Confident in current supply routes.",70,verified,outdated
BC-016,2026-07-15 12:45,New Meridian,Reynolds Court,all_clear,"Reynolds Court fully clear. Large convoy welcome to pass through.",93,disputed,peacock_spoofed
BC-017,2026-07-15 16:00,Outpost-Beta,Robotics Workshop,warning,"Small peacocks spotted circling Robotics Workshop perimeter.",47,verified,genuine
BC-018,2026-07-16 07:35,Outpost-Alpha,Reynolds Court,warning,"Convoy lost near Reynolds Court. New Meridian's all-clear was false.",61,verified,genuine
BC-019,2026-07-16 10:05,Mini-Marv-01,Guild Village,emergency,"Attempting contact with Outpost-Delta. No response for 48 hours.",,unconfirmed,genuine
BC-020,2026-07-16 14:20,Marv Mail,Old Commerce Building,situation_report,"Old Commerce Building remains as previously reported.",66,verified,outdated
BC-021,2026-07-17 05:50,Outpost-Gamma,Prescott Court,emergency,"Urgent: peacock swarm breaching Prescott Court perimeter. Need immediate reinforcement.",44,not_checked,genuine
BC-022,2026-07-17 06:10,Outpost-Gamma,Prescott Court,emergency,"Repeat: Prescott Court under direct attack. This is not a drill.",41,not_checked,genuine
BC-023,2026-07-17 09:00,New Meridian,Prescott Court,all_clear,"Prescott Court situation resolved. All clear now.",90,disputed,peacock_spoofed
BC-024,2026-07-18 08:25,Mini-Marv-02,Prescott Court,situation_report,"Arrived Prescott Court late. Damage found consistent with Outpost-Gamma's emergency calls, not New Meridian's all-clear.",52,verified,genuine
BC-025,2026-07-18 11:40,Outpost-Alpha,Sunken Garden,routine_check,"Sunken Garden holding steady despite regional disruptions.",60,verified,genuine
BC-026,2026-07-18 15:55,Marv Mail,CS Building Foyer,situation_report,,72,verified,unknown
BC-027,2026-07-19 07:15,Outpost-Beta,Robotics Workshop,routine_check,"Robotics Workshop quiet this morning. Minor repairs ongoing.",48,verified,genuine
BC-028,2026-07-19 12:30,New Meridian,IT Building Relay Tower,all_clear,"IT Building Relay Tower clear. Proceed as normal.",92,disputed,peacock_spoofed
BC-029,2026-07-19 18:45,Outpost-Alpha,Sunken Garden,routine_check,"Evening check near Sunken Garden. No new activity.",58,verified,genuine
BC-030,2026-07-20 07:05,New Meridian,Library Walk,all_clear,"Library Walk fully secured. Convoys may pass freely.",88,disputed,peacock_spoofed
BC-031,2026-07-20 09:50,Outpost-Beta,Robotics Workshop,supply_request,"Requesting replacement casing at Robotics Workshop.",50,unconfirmed,genuine
BC-032,2026-07-21 10:15,Outpost-Alpha,Library Walk,warning,"Convoy ambushed on Library Walk. Yesterday's all-clear from New Meridian was false.",63,verified,genuine
BC-033,2026-07-21 13:40,Marv Mail,CS Building Foyer,situation_report,"CS Building Foyer secure, patrol notes unchanged from last cycle.",69,verified,outdated
